Complaint,DateOccur,Crime,crimeCat,Description,ILEADSAddress,ILEADSStreet,XCoord,YCoord,xyStatus
16-001352,01/09/2016 00:05,43012,Aggravated Assault,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,3200,S KINGSHIGHWAY BLVD,886529.6,1007948,FALSE
16-001372,01/09/2016 00:45,43016,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,3734,TENNESSEE AVE,894158.2,1003298,FALSE
16-001485,01/09/2016 01:00,21000,Forcible Rape,RAPE -- FORCIBLE,900,N 1ST ST,0,0,TRUE
16-001366,01/09/2016 01:55,21000,Forcible Rape,RAPE -- FORCIBLE,4900,CARTER AVE,0,0,TRUE
16-001385,01/09/2016 06:58,41011,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3741,MORGANFORD RD,887614.9,1004170,FALSE
16-001385,01/09/2016 06:58,41021,Aggravated Assault,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,3741,MORGANFORD RD,887614.9,1004170,FALSE
16-001435,01/09/2016 16:20,43016,Aggravated Assault,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,4905,EMERSON AVE,890785.5,1040576,FALSE
16-001558,01/09/2016 17:00,21000,Forcible Rape,RAPE -- FORCIBLE,2800,S COMPTON AVE,0,0,TRUE
16-001450,01/09/2016 18:15,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4210,MERAMEC ST,888244.7,1003634,FALSE
16-001451,01/09/2016 18:30,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,6177,LAURA AVE,887982.3,1044664,FALSE
16-001465,01/09/2016 19:12,32111,Robbery,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,7405,MICHIGAN AVE,889108.1,989447.9,FALSE
16-001477,01/09/2016 20:00,41014,Aggravated Assault,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,2612,HICKORY ST,900240.4,1014902,FALSE
16-001468,01/09/2016 20:30,31111,Robbery,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3333,MICHIGAN AVE,895694.3,1005761,FALSE
16-001471,01/09/2016 21:00,35111,Robbery,ROBBERY-GAS STA/FIREARM USED/SUCCESSFUL,3520,NATURAL BRIDGE AVE,901199.4,1029504,FALSE
16-001474,01/09/2016 21:00,42014,Aggravated Assault,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,4442,DRYDEN AVE,896417.4,1036566,FALSE
16-001509,01/09/2016 22:00,21000,Forcible Rape,RAPE -- FORCIBLE,800,GUSTAV AVE,0,0,TRUE
16-001479,01/09/2016 22:32,42014,Aggravated Assault,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,2747,BACON ST,899845.3,1026989,FALSE
16-001479,01/09/2016 22:32,42022,Aggravated Assault,AGG.ASSAULT-KNIFE/CITIZEN CHILD 2ND DEGREE,2747,BACON ST,899845.3,1026989,FALSE
16-001487,01/09/2016 23:35,32111,Robbery,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,5104,PALM ST,890291.5,1035247,FALSE
16-004540,01/10/2016 00:01,21000,Forcible Rape,RAPE -- FORCIBLE,3700,MINNESOTA AVE,0,0,TRUE
16-001496,01/10/2016 00:30,31421,Robbery,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4128,E PENROSE ST,899180.6,1033381,FALSE
16-001510,01/10/2016 02:00,44012,Aggravated Assault,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",2211,MARKET ST,902363.3,1018827,FALSE
